# time(ms),voltage(mV),na_current(nA
8.570999999998983654e+00,-6.572246388126379202e+01,-9.407079016591611163e-04
8.571999999998984876e+00,-6.572249493307818113e+01,-9.406901518393253952e-04
8.572999999998986098e+00,-6.572252582319251246e+01,-9.406724622690426337e-04
8.573999999998987320e+00,-6.572255655168736155e+01,-9.406548329173816279e-04
8.574999999998988542e+00,-6.572258711864328973e+01,-9.406372637534235340e-04
8.575999999998989765e+00,-6.572261752414081570e+01,-9.406197547462626270e-04
8.576999999998990987e+00,-6.572264776826048660e+01,-9.406023058650057585e-04
8.577999999998992209e+00,-6.572267785108279270e+01,-9.405849170787730076e-04
8.578999999998993431e+00,-6.572270777268823849e+01,-9.405675883566977889e-04
8.579999999998994653e+00,-6.572273753315731426e+01,-9.405503196679263107e-04
8.580999999998995875e+00,-6.572276713257048186e+01,-9.405331109816169243e-04
8.581999999998997097e+00,-6.572279657100818895e+01,-9.405159622669421841e-04
8.582999999998998319e+00,-6.572282584855088317e+01,-9.404988734930861370e-04
8.583999999998999542e+00,-6.572285496527899795e+01,-9.404818446292469245e-04
8.584999999999000764e+00,-6.572288392127293832e+01,-9.404648756446347228e-04
8.585999999999001986e+00,-6.572291271661309509e+01,-9.404479665084733691e-04
8.586999999999003208e+00,-6.572294135137987325e+01,-9.404311171899986267e-04
8.587999999999004430e+00,-6.572296982565362100e+01,-9.404143276584605703e-04
8.588999999999005652e+00,-6.572299813951470071e+01,-9.403975978831210928e-04
8.589999999999006874e+00,-6.572302629304346056e+01,-9.403809278332542296e-04
8.590999999999008097e+00,-6.572305428632022029e+01,-9.403643174781487618e-04
8.591999999999009319e+00,-6.572308211942529965e+01,-9.403477667871048542e-04
8.592999999999010541e+00,-6.572310979243898998e+01,-9.403312757294363328e-04
8.593999999999011763e+00,-6.572313730544158261e+01,-9.403148442744694918e-04
8.594999999999012985e+00,-6.572316465851334044e+01,-9.402984723915434190e-04
8.595999999999014207e+00,-6.572319185173452638e+01,-9.402821600500102127e-04
8.596999999999015429e+00,-6.572321888518537492e+01,-9.402659072192349815e-04
8.597999999999016651e+00,-6.572324575894612053e+01,-9.402497138685953024e-04
8.598999999999017874e+00,-6.572327247309696929e+01,-9.402335799674807872e-04
8.599999999999019096e+00,-6.572329902771812726e+01,-9.402175054852953589e-04
8.600999999999020318e+00,-6.572332542288977209e+01,-9.402014903914553004e-04
8.601999999999021540e+00,-6.572335165869208140e+01,-9.401855346553893633e-04
8.602999999999022762e+00,-6.572337773520520443e+01,-9.401696382465394176e-04
8.603999999999023984e+00,-6.572340365250929040e+01,-9.401538011343594766e-04
8.604999999999025206e+00,-6.572342941068446009e+01,-9.401380232883168892e-04
8.605999999999026429e+00,-6.572345500981082012e+01,-9.401223046778919065e-04
8.606999999999027651e+00,-6.572348044996847705e+01,-9.401066452725767054e-04
8.607999999999028873e+00,-6.572350573123752326e+01,-9.400910450418771243e-04
8.608999999999030095e+00,-6.572353085369800851e+01,-9.400755039553115779e-04
8.609999999999031317e+00,-6.572355581742999675e+01,-9.400600219824107326e-04
8.610999999999032539e+00,-6.572358062251353772e+01,-9.400445990927186989e-04
8.611999999999033761e+00,-6.572360526902863853e+01,-9.400292352557916217e-04
8.612999999999034983e+00,-6.572362975705532051e+01,-9.400139304411984399e-04
8.613999999999036206e+00,-6.572365408667359077e+01,-9.399986846185215362e-04
8.614999999999037428e+00,-6.572367825796341378e+01,-9.399834977573553281e-04
8.615999999999038650e+00,-6.572370227100476825e+01,-9.399683698273068096e-04
8.616999999999039872e+00,-6.572372612587760443e+01,-9.399533007979965276e-04
8.617999999999041094e+00,-6.572374982266185839e+01,-9.399382906390568466e-04
8.618999999999042316e+00,-6.572377336143745197e+01,-9.399233393201329246e-04
8.619999999999043538e+00,-6.572379674228430702e+01,-9.399084468108832554e-04
8.620999999999044761e+00,-6.572381996528230275e+01,-9.398936130809782590e-04
8.621999999999045983e+00,-6.572384303051133259e+01,-9.398788381001017996e-04
8.622999999999047205e+00,-6.572386593805126154e+01,-9.398641218379495590e-04
8.623999999999048427e+00,-6.572388868798194039e+01,-9.398494642642299043e-04
8.624999999999049649e+00,-6.572391128038319152e+01,-9.398348653486649721e-04
8.625999999999050871e+00,-6.572393371533485151e+01,-9.398203250609882828e-04
8.626999999999052093e+00,-6.572395599291672852e+01,-9.398058433709465843e-04
8.627999999999053315e+00,-6.572397811320860228e+01,-9.397914202482989844e-04
8.628999999999054538e+00,-6.572400007629025254e+01,-9.397770556628177096e-04
8.629999999999055760e+00,-6.572402188224145902e+01,-9.397627495842871296e-04
